user_profile_id,music_envy_today,feeling,music_preference,music_style_preference,music_reason,listening_context,current_music_type,usual_listening_mode,likes_discovery,attend_live_concert,repeat_listening,explicit_ok,avg_song_length,avg_daily_listen_time
1,"['Mélancolique', 'Concentration / flow', 'Énergique et intense']",0,0,2,"['Concentration', 'Motivation', 'Détente']","['Travail / études', 'Trajet', 'Détente', 'Jeu vidéo']",2,1,2,1,3,2,4.5,150.0
2,"['Énergique et intense', 'Positif et enjoué']",2,0,1,"['Détente', 'Concentration', 'Motivation']","['Détente', 'Lecture / écriture', 'Jeu vidéo', 'Travail / études']",3,1,2,2,3,2,4.5,150.0
3,"['Énergique et intense', 'Mélancolique']",0,2,0,"['Concentration', 'Motivation', 'Détente']","['Sport', 'Travail / études', 'Détente']",2,1,2,1,3,0,4.5,45.0
4,['Surprenez-moi'],0,0,2,"['Détente', 'Motivation']","['Trajet', 'Détente', 'Jeu vidéo', 'Soirée entre amis']",3,2,3,1,3,1,4.5,150.0
5,['Énergique et intense'],0,0,1,"['Motivation', 'Détente']","['Détente', 'Soirée entre amis', 'Jeu vidéo', 'Trajet']",1,1,1,2,3,2,4.5,150.0
6,"['Positif et enjoué', 'Énergique et intense']",1,2,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Détente', 'Soirée entre amis', 'Jeu vidéo']",3,1,2,2,3,0,4.5,150.0
7,"['Calme et doux', 'Concentration / flow', 'Mélancolique']",0,0,0,"['Concentration', 'Détente', 'Motivation']","['Lecture / écriture', 'Trajet', 'Sport', 'Détente']",3,1,3,3,3,0,2.0,45.0
8,"['Concentration / flow', 'Calme et doux', 'Positif et enjoué']",0,2,0,"['Motivation', 'Détente', 'Concentration']","['Sport', 'Trajet', 'Jeu vidéo', 'Détente']",1,1,3,2,3,2,4.5,150.0
9,"['Positif et enjoué', 'Énergique et intense']",1,0,2,"['Détente', 'Motivation']","['Sport', 'Trajet', 'Soirée entre amis', 'Détente']",3,1,1,2,3,2,4.5,45.0
10,"['Pour bouger', 'Positif et enjoué', 'Énergique et intense']",1,2,2,['Détente'],"['Travail / études', 'Trajet', 'Détente', 'Jeu vidéo']",3,1,3,2,3,-2,4.5,240.0
11,['Concentration / flow'],0,2,2,"['Concentration', 'Détente', 'Motivation']","['Trajet', 'Détente', 'Lecture / écriture', 'Travail / études']",1,1,1,0,3,2,4.5,240.0
12,"['Concentration / flow', 'Pour bouger', 'Positif et enjoué']",1,0,2,"['Concentration', 'Motivation', 'Danse']","['Travail / études', 'Sport', 'Trajet', 'Jeu vidéo']",1,1,2,2,3,0,4.5,150.0
13,"['Pour bouger', 'Calme et doux', 'Énergique et intense']",1,0,2,"['Détente', 'Motivation']","['Trajet', ""Pour m'endormir le soir, de sorte à stimuler mon imagination pour rêver ou bien pour m'endormir plus rapidement""]",1,1,2,1,2,1,4.5,150.0
