user_profile_id,music_envy_today,feeling,music_preference,music_style_preference,music_reason,listening_context,current_music_type,usual_listening_mode,likes_discovery,attend_live_concert,repeat_listening,explicit_ok,avg_song_length,avg_daily_listen_time,recommended_artists
1,"['Mélancolique', 'Concentration / flow', 'Énergique et intense']",0,0,2,"['Concentration', 'Motivation', 'Détente']","['Travail / études', 'Trajet', 'Détente', 'Jeu vidéo']",2,1,2,1,3,2,4.5,150.0,"['laucarré', 'kikesa', 'tezatalks', 'laurie', 'darmon']"
2,"['Énergique et intense', 'Positif et enjoué']",2,0,1,"['Détente', 'Concentration', 'Motivation']","['Détente', 'Lecture / écriture', 'Jeu vidéo', 'Travail / études']",3,1,2,2,3,2,4.5,150.0,"['かめりあ', 'camellia']"
3,"['Énergique et intense', 'Mélancolique']",0,2,0,"['Concentration', 'Motivation', 'Détente']","['Sport', 'Travail / études', 'Détente']",2,1,2,1,3,0,4.5,45.0,"['imagine', 'dragons', 'hans', 'zimmer', 'ludovico', 'einaudi', 'ryuichi', 'sakamoto']"
4,['Surprenez-moi'],0,0,2,"['Détente', 'Motivation']","['Trajet', 'Détente', 'Jeu vidéo', 'Soirée entre amis']",3,2,3,1,3,1,4.5,150.0,"['imagine', 'dragons', 'enemy', 'lena', 'raine', 'farewell', 'yoasobi', 'undead']"
5,['Énergique et intense'],0,0,1,"['Motivation', 'Détente']","['Détente', 'Soirée entre amis', 'Jeu vidéo', 'Trajet']",1,1,1,2,3,2,4.5,150.0,"['artistes', 'en', 'général', 'starset', 'monster', 'siren', 'records', 'operations', 'battleplans', 'particulièrement', 'electric', 'callboy', 'konomi', 'suzuki', 'autres', 'titres', 'misery', 'memphis', 'may', 'fire', 'come', 'alive', 'san', 'z', 'hoyo', 'mix', 'black', 'hole', 'we', 'came', 'as', 'romans', 'caleb', 'shomo', 'blood', 'red', 'landmvrks']"
6,"['Positif et enjoué', 'Énergique et intense']",1,2,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Détente', 'Soirée entre amis', 'Jeu vidéo']",3,1,2,2,3,0,4.5,150.0,"['one', 'ok', 'rock', 'starset', 'echo', 'trigger', 'escape', 'from', 'now', 'ado', 'show', 'the', 'warning', 'more', 'aurora', 'the', 'seed', 'queen', 'bee', '01', 'lenaïg', 'internet', 'copycat', 'oulala', 'band', 'maid', 'forbidden', 'tale', 'alexia', 'evellyn', 'savage', 'daughters']"
7,"['Calme et doux', 'Concentration / flow', 'Mélancolique']",0,0,0,"['Concentration', 'Détente', 'Motivation']","['Lecture / écriture', 'Trajet', 'Sport', 'Détente']",3,1,3,3,3,0,2.0,45.0,"['lana', 'del', 'rey', 'young', 'and', 'beautiful', 'taylor', 'swift', 'cardigan']"
8,"['Concentration / flow', 'Calme et doux', 'Positif et enjoué']",0,2,0,"['Motivation', 'Détente', 'Concentration']","['Sport', 'Trajet', 'Jeu vidéo', 'Détente']",1,1,3,2,3,2,4.5,150.0,"['logic', 'stellar', 'jyeuhair', 'chris', 'grey']"
9,"['Positif et enjoué', 'Énergique et intense']",1,0,2,"['Détente', 'Motivation']","['Sport', 'Trajet', 'Soirée entre amis', 'Détente']",3,1,1,2,3,2,4.5,45.0,"['ado', 'lorien', 'testard', 'et', 'alice', 'duport', 'percier', 'fzmz', 'jamie', 'berry', 'aj', 'dispirito', 'blues', 'brothers', 'aimer', 'linkin', 'park', 'landmvrks', 'port', 'sulphur', 'band', 'infected', 'mushroom', 'sumika', 'honeyworks', 'jeff', 'williams', 'et', 'casey', 'lee', 'williams', 'lindsey', 'stirling', 's3rl', 'josh', 'a', 'et', 'jake', 'hill']"
10,"['Pour bouger', 'Positif et enjoué', 'Énergique et intense']",1,2,2,['Détente'],"['Travail / études', 'Trajet', 'Détente', 'Jeu vidéo']",3,1,3,2,3,-2,4.5,240.0,"['sail', 'north', 'tales', 'of', 'luria', 'skáld', 'gleipnir', 'warrior', 'of', 'the', 'mind', 'marino', 'devil', 'in', 'disguise']"
11,['Concentration / flow'],0,2,2,"['Concentration', 'Détente', 'Motivation']","['Trajet', 'Détente', 'Lecture / écriture', 'Travail / études']",1,1,1,0,3,2,4.5,240.0,"['h', 'tône', 'irracible', 'salem']"
12,"['Concentration / flow', 'Pour bouger', 'Positif et enjoué']",1,0,2,"['Concentration', 'Motivation', 'Danse']","['Travail / études', 'Sport', 'Trajet', 'Jeu vidéo']",1,1,2,2,3,0,4.5,150.0,nan
13,"['Pour bouger', 'Calme et doux', 'Énergique et intense']",1,0,2,"['Détente', 'Motivation']","['Trajet', ""Pour m'endormir le soir, de sorte à stimuler mon imagination pour rêver ou bien pour m'endormir plus rapidement""]",1,1,2,1,2,1,4.5,150.0,"['the', 'song', 'of', 'orpheus', 'de', 'la', 'série', 'the', 'sandman', 'parfait', 'pour', 's', 'endormir']"
14,"['Énergique et intense', 'Concentration / flow', 'Calme et doux']",1,1,1,"['Détente', 'Concentration']","['Travail / études', 'Détente', 'Soirée entre amis', 'Jeu vidéo']",1,1,2,1,3,0,4.5,150.0,"['bring', 'me', 'the', 'horizon', 'théa']"
15,"['Énergique et intense', 'Concentration / flow', 'Positif et enjoué']",1,0,1,"['Concentration', 'Motivation', 'Détente']","['Travail / études', 'Trajet', 'Jeu vidéo', 'Soirée entre amis']",3,1,2,2,3,0,4.5,45.0,"['teddy', 'swims', 'peyton', 'parrish', 'rag', 'n', 'bone', 'man', 'gims', 'un', 'monde', 'à', 'l', 'autre', 'billx', 'black', 'muffin', 'irish', 'legends']"
16,"['Pour bouger', 'Concentration / flow', 'Mélancolique']",1,2,2,"['Motivation', 'Détente']","['Travail / études', 'Sport', 'Trajet', 'Soirée entre amis']",1,1,2,1,2,1,2.0,150.0,"['arctic', 'monkeys', 'bekar', 'ninho', 'niska', 'georgio']"
17,"['Énergique et intense', 'Positif et enjoué', 'Pour bouger']",1,2,0,"['Détente', 'Concentration']","['Détente', 'Travail / études', 'Jeu vidéo']",3,1,3,2,3,2,4.5,45.0,nan
18,"['Calme et doux', 'Mélancolique', 'Positif et enjoué']",0,0,2,"['Concentration', 'Détente']","['Travail / études', 'Trajet', 'Avant de dormir et pendant les tâches ménagères']",0,1,3,3,3,0,4.5,240.0,"['colgeria', 'takopi', 'original', 'sin', 'huntrix', 'lena', 'rayne', 'goodbye', 'to', 'a', 'world', 'pandora', 's', 'box', 'ice', 'reconstruction', 'of', 'pandora', 's', 'box', 'dismantled', 'pandora', 's', 'box', 'coalescence', 'clocktown', 'credit', 'sont', 'to', 'my', 'death', 'fontaine', 'spears', 'of', 'justice', 'lace', 'silksong', 'in', 'this', 'shirt', 'zenistu', 'theme']"
19,"['Calme et doux', 'Énergique et intense', 'Concentration / flow']",1,2,2,"['Motivation', 'Concentration', 'Détente']","['Trajet', 'Travail / études', 'Détente', ""Moment dédié à l'écoute de la musique""]",3,1,3,3,3,1,4.5,240.0,"['u', 'english', 'version', 'ꉈꀧ', 'ꁄꍈꍈꀧ', 'ꉈ', 'ꉣꅔꎡꅔꁕꁄ', 'belle', 'through', 'the', 'fire', 'and', 'flames', 'dragonforce', 'american', 'idiot', 'green', 'day', 'party', 'rock', 'anthem', 'lmfao', 'idol', 'yoasobi', 'bâtard', 'stromae', 'loose', 'yourself', 'to', 'dance', 'daft', 'punk', 'pharell', 'williams', 'rather', 'be', 'clean', 'bandit', 'jess', 'glynne', 'main', 'girl', 'charlotte', 'cardin', 'field', 'of', 'hopes', 'and', 'dreams', 'toby', 'fox', 'trevor', 'alan', 'gomes']"
20,"['Concentration / flow', 'Positif et enjoué']",1,2,2,"['Concentration', 'Motivation', 'Détente']","['Travail / études', 'Trajet', 'Détente']",1,1,3,1,3,-1,4.5,150.0,"['california', 'dreamin', 'the', 'mamas', 'the', 'papas']"
21,"['Positif et enjoué', 'Calme et doux', 'Énergique et intense']",1,2,1,['Motivation'],"['Trajet', 'Détente']",3,1,1,1,3,-1,2.0,45.0,"['hkt48', 'hatsune', 'miku', 'cascada']"
22,"['Énergique et intense', 'Calme et doux', 'Concentration / flow']",1,2,1,"['Détente', 'Concentration', 'Motivation']","['Jeu vidéo', 'Trajet', 'Travail / études', 'Détente']",1,1,2,2,3,2,2.0,240.0,['bewhy']
23,"['Énergique et intense', 'Pour bouger', 'Concentration / flow']",2,2,1,"['Motivation', 'Danse', 'Concentration']","['Travail / études', 'Soirée entre amis', 'Jeu vidéo', 'Trajet']",3,1,3,3,3,2,2.0,150.0,"['linkin', 'park', 'starset', 'muse', 'cult', 'to', 'follow', 'konceal', 'twenty', 'one', 'pilots', 'imagine', 'dragons', 'one', 'ok', 'rock', 'nirvana', 'system', 'of', 'a', 'down', 'pink', 'floyd', 'the', 'beatles', 'nickelback', 'queen', 'the', 'rollings', 'stones', 'ac', 'dc', 'metallica', 'green', 'day', 'evanescence', 'the', 'offspring', 'paramore', 'icon', 'for', 'hire', 'three', 'days', 'grace', 'gorillaz', 'bullet', 'for', 'my', 'valentine', 'kyo', 'the', 'cranberries', 'bon', 'jovi', 'scorpions', 'avenged', 'sevenfold', 'skillet', 'skrillex', 'europe', 'final', 'countdown', 'survivor', 'falling', 'in', 'reverse', 'eminem', 'from', 'ashes', 'to', 'news']"
24,"['Calme et doux', 'Concentration / flow', 'Festif / soirée']",0,2,2,"['Concentration', 'Danse', 'Détente']","['Travail / études', 'Trajet', 'Jeu vidéo']",1,1,2,3,3,0,4.5,240.0,['angèle']
25,"['Pour bouger', 'Positif et enjoué', 'Calme et doux']",1,2,2,"['Détente', 'Concentration', 'Motivation']","['Travail / études', 'Sport', 'Détente', 'Trajet']",3,1,2,1,2,2,2.0,240.0,"['twice', 'aespa', 'babymonster', 'le', 'sserafim', 'illit', 'itzy', 'nmixx', 'idle', 'fromis_9']"
26,"['Énergique et intense', 'Positif et enjoué', 'Calme et doux']",1,2,2,"['Motivation', 'Concentration', 'Détente']","['Travail / études', 'Détente', 'Jeu vidéo', 'Lecture / écriture']",1,1,3,3,3,2,4.5,150.0,"['starset', 'mnqn', 'mili', 'sakuzyo', 'carpenter', 'brut', 'battleplan', 'extinguished', 'sins', 'chamber', 'chu', 'linkin', 'park', 'team', 'grimoire', 'lapix', 'queen']"
27,"['Calme et doux', 'Mélancolique', 'Énergique et intense']",1,2,2,"['Concentration', 'Détente', 'Motivation']","['Travail / études', 'Détente', 'Jeu vidéo', 'Trajet']",2,1,2,2,2,-1,4.5,240.0,"['juliana', 'chahayed']"
28,"['Positif et enjoué', 'Énergique et intense', 'Concentration / flow']",0,0,1,"['Détente', 'Concentration', 'Danse']","['Travail / études', 'Trajet', 'Jeu vidéo', 'Lecture / écriture']",3,1,3,1,3,1,4.5,240.0,nan
29,"['Mélancolique', 'Concentration / flow', 'Calme et doux']",1,0,0,"['Détente', 'Concentration']","['Détente', 'Travail / études', 'Soirée entre amis', 'Trajet']",1,1,2,0,3,1,2.0,150.0,nan
